date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:09	219/219	---M-Z	200	added ('OK')	text/css	etag:%22db-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/pager.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/pager8496.css	(from https://www.switchmobilityev.com/en)
15:58:10	216/216	---M-Z	200	added ('OK')	text/css	etag:%22d8-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/tabledrag.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/tabledrag8496.css	(from https://www.switchmobilityev.com/en)
15:58:10	321/321	---M-Z	200	added ('OK')	text/css	etag:%22141-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/tableselect.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/tableselect8496.css	(from https://www.switchmobilityev.com/en)
15:58:10	137/137	---M-Z	200	added ('OK')	text/css	etag:%2289-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/tablesort.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/tablesort8496.css	(from https://www.switchmobilityev.com/en)
15:58:11	503/503	---M-Z	200	added ('OK')	text/css	etag:%221f7-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/tabs.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/tabs8496.css	(from https://www.switchmobilityev.com/en)
15:58:11	180/180	---M-Z	200	added ('OK')	text/css	etag:%22b4-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/textarea.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/textarea8496.css	(from https://www.switchmobilityev.com/en)
15:58:11	223/223	---M-Z	200	added ('OK')	text/css	etag:%22df-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/ui-dialog.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/ui-dialog8496.css	(from https://www.switchmobilityev.com/en)
15:58:12	1989/1989	---M-Z	200	added ('OK')	text/css	etag:%227c5-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/messages.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/messages8496.css	(from https://www.switchmobilityev.com/en)
15:58:12	159474/159474	---M-Z	200	added ('OK')	text/css	etag:%2226ef2-5f1d4a67a09e7-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/bootstrap.min.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/bootstrap.min8496.css	(from https://www.switchmobilityev.com/en)
15:58:13	26715/26715	---M-Z	200	added ('OK')	text/css	etag:%22685b-5f1d4a67a09e7-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/font-awesome.min.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/font-awesome.min8496.css	(from https://www.switchmobilityev.com/en)
15:58:13	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-5f1d4a67a09e7-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/aos.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/aos8496.css	(from https://www.switchmobilityev.com/en)
15:58:13	52957/52957	---M-Z	200	added ('OK')	text/css	etag:%22cedd-5f1d4a679fa47-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/styles.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/styles8496.css	(from https://www.switchmobilityev.com/en)
15:58:13	782/782	---M-Z	200	added ('OK')	text/css	etag:%2230e-5f1d4a67a09e7-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/overwrite.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/overwrite8496.css	(from https://www.switchmobilityev.com/en)
15:58:14	43975/43975	---M-Z	200	added ('OK')	text/css	etag:%22abc7-5f5bcfcc3aca4-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/custom.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/custom8496.css	(from https://www.switchmobilityev.com/en)
15:58:14	40848/40848	---M-Z	200	added ('OK')	text/css	etag:%229f90-5f5bcfcb890db-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/responsiveScreen.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/responsiveScreen8496.css	(from https://www.switchmobilityev.com/en)
